No.,Symbol,Company Name,Sector,Issued Allocation,Remaining Allocation,Entry Price,Entry Time,Exit Price,Exit Time,Profit & Loss,Returns,Freeze Price,ISIN-Exchange-Series,Rationale
419,PARAS,PARAS DEF AND SPCE TECH L-PARAS EQ,Aerospace &amp; Defence,5,0,"1,251.00",31-Jul-26,0,31-Jul-26,0,0,0,INE045601023-NSE-EQ,Stock has recently seen some pullback move from the highs and is now reading at support. We expect the prices to resume its uptrend in the near term.
397,JSFB,JANA SMALL FIN BANK LTD-JSFB EQ,Banks,5,0,559.25,29-Jul-26,0,29-Jul-26,0,0,0,INE953L01027-NSE-EQ,"Stock has recently given a breakout from its consoldiation phase with good volumes. The price volumes action hints at a possibility of sustained upmove in the short to medium term.,"
398,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,30,35,115.1,21-Jul-26,115.22,29-Jul-26,0.12,0.1,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
390,PAYTM,ONE 97 COMMUNICATIONS LTD-PAYTM EQ,E-Commerce/App based Aggregator,10,0,"1,310.50",28-Jul-26,0,28-Jul-26,0,0,0,INE982J01020-NSE-EQ,"Prices have recently given a breakout from consolidation phase. The previous resistance is now acting as a support and hence, the risk reward ratio seems favorable to ride the next leg of upmove."
392,TVSMOTOR,TVS MOTOR COMPANY  LTD-TVSMOTOR EQ,Automobile,10,0,"3,944.60",28-Jul-26,0,28-Jul-26,0,0,0,INE494B01023-NSE-EQ,Stock is showing signs of a continuation of the uptrend.
391,TRIVENI,TRIVENI ENGG. &amp; INDS. LTD-TRIVENI BE,SUGAR,0,5,484.05,13-Jul-26,231.6,28-Jul-26,-252.45,-52.15,0,INE256C01024-NSE-EQ,EXIT
373,PIDILITIND,PIDILITE INDUSTRIES LTD-PIDILITIND EQ,Chemicals,10,0,"1,611.00",27-Jul-26,0,27-Jul-26,0,0,0,INE318A01026-NSE-EQ,The Stock has formed a higher bottom at its 50 DEMA support. We expect the stock to resume its uptrend as the RSI oscillator is also hinting at a positive momentum.
372,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,35,63,115.1,21-Jul-26,115.19,27-Jul-26,0.09,0.08,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
374,TRIVENI,TRIVENI ENGG. &amp; INDS. LTD-TRIVENI BE,SUGAR,5,7,484.05,13-Jul-26,241,27-Jul-26,-243.05,-50.21,0,INE256C01024-NSE-EQ,EXIT
310,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,63,60,115.1,21-Jul-26,115.11,23-Jul-26,0.01,0.01,0,INF0R8F01034-NSE-EQ,INVESTING TILL GOOD OPPORTUNITIES SEEN
311,TRIVENI,TRIVENI ENGG. &amp; INDS. LTD-TRIVENI BE,SUGAR,7,10,484.05,13-Jul-26,275.5,23-Jul-26,-208.55,-43.08,0,INE256C01024-NSE-EQ,EXIT
295,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,60,35,115.1,21-Jul-26,115.11,22-Jul-26,0.01,0.01,0,INF0R8F01034-NSE-EQ,INVESTING TILL GOOD OPPORTUNITIES SEEN
